PROJECT_CODE,SITE_ID,OBS_NO,HORIZON_NO,SAMPLE_NO,TEXTURE,2Z2_CS,2Z2_Clay,2Z2_FS,2Z2_Silt,PSA_TOTAL,N_COMP
AGW,483,1,2,32,NA,71,4,61,35,171,4
CBW,281,1,1,1,LS,14,5,71,71,161,4
CBW,281,1,2,2,LS,14,4,71,71,160,4
CBW,282,1,1,1,LS,16,4,70,70,160,4
CBW,282,1,2,2,LS,16,7,67,67,157,4
CBW,283,1,1,1,FSL,12,7,68,68,155,4
CBW,266,1,1,1,LFSY,10,19,62,62,153,4
CBW,281,1,3,3,SL,11,16,62,62,151,4
CBW,282,1,3,3,SL,14,15,61,61,151,4
MCL,9052,1,1,31,LC+,7,40,26,78,151,4
CBW,287,1,1,1,SL,24,8,59,59,150,4
CBW,283,1,2,2,LFSY,12,15,61,61,149,4
CBW,266,1,1,2,LFSY,10,19,59,59,147,4
MON,6094,1,1,2,SCL,12,21,57,57,147,4
CBW,285,1,1,1,FSL,19,13,57,57,146,4
CBW,278,1,1,1,SL,28,9,54,54,145,4
CBW,281,1,5,5,SCL,11,22,56,56,145,4
CBW,287,1,2,2,SL,22,11,56,56,145,4
MON,6094,1,3,3,CLFS,10,29,53,53,145,4
CBW,281,1,4,4,SCL,10,24,55,55,144,4
CBW,275,1,1,2,LS,34,5,52,52,143,4
CBW,278,1,2,2,SL,27,14,51,51,143,4
CBW,279,1,1,1,LFSY,20,19,52,52,143,4
CBW,282,1,4,4,SCL-,11,30,51,51,143,4
CBW,282,1,5,5,SCL,11,28,52,52,143,4
CBW,268,1,1,1,LS,28,8,53,53,142,4
CBW,275,1,1,1,LS,36,6,50,50,142,4
CBW,277,1,1,2,LS,35,3,52,52,142,4
MON,6093,1,3,3,FSLMC,0,24,59,59,142,4
CBW,285,1,2,2,FSCL,16,15,55,55,141,4
RAV,6024,1,4,6,LMC,1,61,18,61,141,4
CBW,268,1,1,2,LS,27,9,52,52,140,4
CBW,278,1,4,3,SCL-,26,22,46,46,140,4
CBW,279,1,2,2,LFSY,20,24,48,48,140,4
CQH,1018,1,1,2,KSL,56.7,60.1,22.5,0.67,139.97,4
CBW,276,1,2,2,CLS,24,15,50,50,139,4
CBW,266,1,3,3,CLFS,9,33,48,48,138,4
CBW,267,1,2,2,CLFS,10,24,52,52,138,4
CBW,277,1,3,3,SCL,33,9,48,48,138,4
MON,6094,1,4,4,FSLC,10,36,46,46,138,4
BSS,3,1,3,4,FSC,16,40,34,46,136,4
CBW,277,1,1,1,LS,40,4,46,46,136,4
CBW,276,1,1,1,L,32,11,46,46,135,4
CBW,280,1,1,2,LS,34,6,47,47,134,4
CBW,274,1,2,2,SCL-,31,14,44,44,133,4
MON,6089,1,2,3,SCL,30,23,40,40,133,4
CBW,269,1,1,1,SL,33,19,40,40,132,4
CBW,275,1,3,3,SCL,32,16,42,42,132,4
MON,6089,1,1,2,SCLFS-,30,26,38,38,132,4
PLS,2,1,1,31,SCL-,31,46,40,15,132,4
CBW,265,1,1,1,SL,39,12,40,40,131,4
CBW,268,1,3,3,SCL-,26,21,42,42,131,4
MON,6094,1,5,5,FSLC,8,43,40,40,131,4
CBW,266,1,5,4,LC,9,41,40,40,130,4
CBW,278,1,4,4,SCL-,24,30,38,38,130,4
CBW,265,1,1,3,SL,35,10,42,42,129,4
CBW,266,1,5,5,LC,8,39,41,41,129,4
CBW,269,1,2,2,SCL,29,22,39,39,129,4
CBW,275,1,3,4,SCL,34,17,39,39,129,4
CBW,277,1,4,4,CLS,27,32,35,35,129,4
CBW,275,1,5,5,CLS,32,20,38,38,128,4
MON,6093,1,4,4,LMC,0,38,45,45,128,4
CBW,263,1,1,3,CLS,30,21,38,38,127,4
CBW,279,1,4,3,CL+,14,41,36,36,127,4
MON,6093,1,4,5,LMC,2,43,41,41,127,4
CBW,279,1,5,4,LC,15,45,33,33,126,4
CBW,264,1,1,3,LS,51,6,34,34,125,4
CBW,268,1,4,4,SCL,19,32,37,37,125,4
CBW,274,1,1,1,SCL-,37,12,38,38,125,4
CBW,263,1,1,1,CLS,37,15,36,36,124,4
CBW,263,1,3,5,LC,27,33,32,32,124,4
CBW,264,1,1,1,LS,56,6,31,31,124,4
CBW,267,1,5,3,LMC,7,39,39,39,124,4
CBW,280,1,3,3,SCL,25,29,35,35,124,4
CBW,287,1,4,3,LC,17,37,35,35,124,4
MON,6096,1,1,2,LC,11,41,36,36,124,4
CBW,268,1,6,5,LC,17,38,34,34,123,4
CBW,276,1,4,3,LC,17,46,30,30,123,4
CBW,285,1,5,3,LC,10,47,33,33,123,4
P2REEF,504,1,4,5,ZLC,0.5,39,41,42,122.5,4
P2REEF,504,1,5,7,ZLMC,0.5,41,39,42,122.5,4
CBW,269,1,2,3,SCL,27,35,30,30,122,4
CBW,269,1,3,4,CLS,25,39,29,29,122,4
P2REEF,500,1,1,3,ZCL,6,17,58,41,122,4
P2REEF,504,1,5,6,ZLMC,0.5,40,37,44,121.5,4
CBW,269,1,3,5,CLS,25,36,30,30,121,4
CBW,278,1,5,5,SCL,22,45,27,27,121,4
MON,6093,1,1,2,CLFS,2,29,45,45,121,4
P2REEF,504,1,2,4,ZCL+,1,41,32,47,121,4
P2REEF,519,1,3,4,ZLC,18,39,35,29,121,4
CBW,277,1,4,5,CLS,22,42,28,28,120,4
IBE,6003,1,3,33,NA,21,68,7,24,120,4
MON,6089,1,5,5,LMC,23,41,28,28,120,4
MON,6096,1,2,3,LC,9,53,29,29,120,4
SWRES,32,1,4,7,NA,1.9000000000000001,90.5,26.5,0.67,119.57,4
CBW,265,1,4,5,LC,25,40,27,27,119,4
CBW,274,1,4,3,CLS,21,40,29,29,119,4
CBW,274,1,5,4,CLS,20,45,27,27,119,4
CBW,274,1,5,5,CLS,23,40,28,28,119,4
MCL,9035,1,4,42,KSL,64,31,21,3,119,4
MON,6089,1,4,4,MC,19,50,25,25,119,4
P2REEF,515,1,5,7,FSL,26,28,46,19,119,4
CBW,264,1,4,5,CLS,44,22,26,26,118,4
CBW,285,1,5,4,LC,8,54,28,28,118,4
CBW,263,1,3,7,LC,26,37,27,27,117,4
CBW,263,1,3,9,LC,25,40,26,26,117,4
CBW,265,1,4,9,LC,19,50,24,24,117,4
CBW,267,1,5,4,LMC,6,47,32,32,117,4
P2REEF,519,1,1,3,ZCL,40,28,19,30,117,4
MON,6092,1,3,4,MC,4,50,31,31,116,4
P2REEF,519,1,3,5,ZLC,0.5,41,46,28,115.5,4
UBV,38,1,1,1,ZL,6.7,15,49.300000000000004,44.2,115.2,4
P2REEF,504,1,1,3,ZCL,14,36,19,46,115,4
P2REEF,516,1,6,8,ZLMC,2,40,33,40,115,4
ATD,13,1,6,42,NA,6,53,28,27,114,4
CBW,265,1,4,7,LC,19,49,23,23,114,4
EIR,9000,1,5,42,MC,37,39,28,10,114,4
LOC,6019,1,5,46,ZC,2,39,37,36,114,4
LOV,57,1,4,36,NA,4,26,59,25,114,4
P2REEF,501,1,2,5,FSCL,12,34,49,19,114,4
PLS,26,1,1,31,KS,59,1,34,20,114,4
P2REEF,504,1,5,8,ZLMC,0.5,35,39,39,113.5,4
WCS,6006,1,3,6,MHC,7.7,43.9,32.9,28.724,113.224,4
ARS,6000,1,4,33,MC+,3,34,38,38,113,4
ATD,13,1,1,31,MC,8,42,31,32,113,4
BSS,2,1,6,7,MC,20,63,20,10,113,4
CBW,276,1,5,4,NA,13,52,24,24,113,4
LOC,6019,1,6,45,LMCS,2,51,20,40,113,4
LOV,49,1,4,36,NA,18,18,44,33,113,4
LOV,57,1,3,33,NA,6,8,68,31,113,4
P2REEF,505,1,3,6,ZCL,7,30,47,29,113,4
PLS,26,1,2,33,LMC,31,8,48,26,113,4
SCSLA,273,1,4,4,MHC,20,58,13,22,113,4
WAN,6,1,4,39,HC,4,59,24,26,113,4
WTC,9089,1,1,31,LFSY,24,7,30,52,113,4
LIA,15,1,1,2,LC,8.700000000000001,30.3,22.5,50.800000000000004,112.30000000000001,4
ABC,162,1,1,31,LC,9,34,35,34,112,4
ABC,162,1,3,33,LC,6,40,38,28,112,4
ABC,230,1,2,36,LC,10,56,24,22,112,4
ABC,398,1,6,42,MHC,13,49,34,16,112,4
ATA,16,1,3,33,ZC,6,54,15,37,112,4
ATD,13,1,5,39,NA,4,56,25,27,112,4
CBW,285,1,5,5,LC,8,56,24,24,112,4
CCL,757,1,1,2,ZCL,4,26,40,42,112,4
CWA,274,1,4,4,SCL,43,12,49,8,112,4
HTN,9006,1,6,7,FSC,11,39,31,31,112,4
MON,6091,1,2,3,MC,21,43,24,24,112,4
MON,6091,1,3,4,MC,17,49,23,23,112,4
P2REEF,513,1,1,3,ZCL,2,12,62,36,112,4
P2REEF,518,1,3,5,SCL,15,29,49,19,112,4
RTC,2,1,2,39,MC,9,86,10,7,112,4
WAN,6,1,4,42,HC,6,55,20,31,112,4
GULLY,2,1,2,3,NA,0.5,40.5,46.6,23.7,111.3,4
BSS,2,1,5,6,MC,20,65,20,6,111,4
CCL,757,1,2,3,ZLC,3,31,41,36,111,4
CTI,6030,1,1,31,CL,17,49,24,21,111,4
FLN,18,1,3,33,LMC,17,46,17,31,111,4
INK,9004,1,3,33,MC,2,65,12,32,111,4
P2REEF,501,1,1,3,CLFS,14,25,49,23,111,4
P2REEF,505,1,2,4,ZCL,4,27,62,18,111,4
P2REEF,506,1,5,4,LC,5,39,36,31,111,4
P2REEF,515,1,3,5,CLFS,11,30,51,19,111,4
WTC,9006,1,2,33,ZCL,8,21,46,36,111,4
WTC,9020,1,1,33,ZCL,4,27,58,22,111,4
WTC,9064,1,1,31,LFSY,13,17,48,33,111,4
BVL,868,1,3,4,SC,36.2,42.6,31.1,0.67,110.57000000000001,4
LIA,15,1,3,4,MC,2,65.4,19.3,23.8,110.5,4
GULLY,7,1,2,15,NA,4.4,44.800000000000004,28.2,33,110.4,4
UBV,28,1,1,1,SCLA,31.400000000000002,18.3,36.1,24.3,110.10000000000001,4
ABC,153,1,2,33,CL,48,16,26,20,110,4
ABC,235,1,3,33,LMC,18,49,24,19,110,4
ASB,12,1,4,36,NA,16,67,16,11,110,4
ATD,13,1,4,36,NA,4,56,23,27,110,4
ATD,14,1,3,33,NA,10,31,49,20,110,4
AWA,34,1,5,42,LC,1,35,48,26,110,4
BBR,112,1,4,4,HC,16,42,35,17,110,4
BLS,9007,1,1,31,MHC,3,42,30,35,110,4
BWA,95,1,5,5,SC,55,19,35,1,110,4
CBW,264,1,4,9,CLS,38,36,18,18,110,4
CBW,276,1,5,5,NA,21,51,19,19,110,4
HTN,9006,1,4,6,LMC,3,37,42,28,110,4
KAI,6006,1,2,33,LMC,9,64,13,24,110,4
KAL,6007,1,15,45,NA,3,49,30,28,110,4
LOC,780,1,3,39,MC,1,66,13,30,110,4
LOC,781,1,2,33,LMC,1,40,31,38,110,4
LOC,781,1,2,36,LMC,1,46,28,35,110,4
LOC,781,1,5,45,ZC,1,41,40,28,110,4
LOV,24,1,3,33,NA,6,7,68,29,110,4
MBP,6003,1,1,33,ZC,23,37,22,28,110,4
MON,6091,1,3,5,MC,17,47,23,23,110,4
MON,6095,1,2,3,MC,15,57,19,19,110,4
MON,6095,1,3,4,MHC,13,57,20,20,110,4
MON,6095,1,3,5,MHC,16,58,18,18,110,4
P2REEF,505,1,3,7,ZCL,17,28,41,24,110,4
P2REEF,513,1,2,4,FSCL,1,23,60,26,110,4
SSC,9012,1,2,33,SLI,62,28,11,9,110,4
LARA,9004,1,2,21,HC,3.7,53.2,23.8,29.1,109.80000000000001,4
UBV,15,1,2,2,LC,22.8,20.3,30.400000000000002,36.300000000000004,109.80000000000001,4
LIA,261,1,3,7,LMC,7.4,73,13.3,16.1,109.8,4
GULLY,6,1,1,11,NA,1.4000000000000001,46.300000000000004,39.7,22.3,109.7,4
CBW,9004,1,5,5,SLMC,46,38,25,0.5,109.5,4
GULLY,64,1,3,3,LMC,1.9000000000000001,41.5,42.800000000000004,23.3,109.5,4
P2REEF,500,1,2,4,ZCL,0.5,20,53,36,109.5,4
UBV,21,1,1,1,FSCL,23.1,11.6,45.800000000000004,28.900000000000002,109.4,4
MIPS,35,1,1,1,LCZ+,3.4,39,42,24.900000000000002,109.3,4
BAMAR,803,1,1,2,FSLC,8.705,23.185000000000002,52.263000000000005,25.105,109.25800000000001,4
NCD,52,1,2,5,MHC,1,83.9,7.3,17.016000000000002,109.21600000000001,4
UBV,16,1,1,1,SCL,20.1,18.6,30.8,39.7,109.2,4
UBV,38,1,6,3,CLFS,1.8,26.900000000000002,54.300000000000004,26.1,109.10000000000001,4
ABC,230,1,3,39,LC,10,59,20,20,109,4
ABC,235,1,1,31,LC,18,38,30,23,109,4
ABN,93,1,3,33,MHC,10,74,14,11,109,4
ABN,93,1,5,39,MHC,12,69,17,11,109,4
ABN,93,1,6,42,MHC,17,66,16,10,109,4
ABN,194,1,3,26,CL,12,42,41,14,109,4
BAN,796,1,3,3,NA,10,41,25,33,109,4
BAN,865,1,4,6,LC,3,41,37,28,109,4
BSS,5,1,2,3,LFS,12,12,64,21,109,4
CBW,287,1,5,4,NA,13,64,16,16,109,4
DWA,44,1,1,1,SL,29,30,37,13,109,4
GDR,1392,1,3,4,MC,9,52,42,6,109,4
GULLY,73,1,3,3,MC,1,41.7,37.7,28.6,109,4
HTN,9000,1,4,5,MC,4,41,38,26,109,4
HTN,9004,1,2,3,LC,7,33,41,28,109,4
JFD,9006,1,5,7,MC,3,47,36,23,109,4
KAI,6006,1,1,31,MC,15,47,14,33,109,4
KAI,6006,1,3,36,LMC,10,63,14,22,109,4
KAI,6007,1,3,36,MC,1,66,16,26,109,4
KAI,6007,1,5,42,MC,1,47,23,38,109,4
KAL,6007,1,6,36,NA,1,51,27,30,109,4
LOV,9,1,5,39,NA,10,26,49,24,109,4
LOV,48,1,1,30,L,11,14,60,24,109,4
