TEXTURE,MED_CLAY,MED_SILT,MED_FSND,MED_CSND,MED_NCLY,MED_W1,MED_W2,N_CLAY,MED_SUM
FS,2,2,61,32.5,97.7,188,0,60,99.7
KS+,3,2,27,71,97,185,0,5,100
S,3,2,26,66.5,97,185,-1,402,100
LFS-,4,7,46,44,96.1,172,4,4,100.1
KS,4,3,20,70,95.9,179,-1,145,99.9
LS-,6,5,37,53,94.2,170,0,11,100.2
MS,6,4,36,42,94.1,170,-3,13,100.1
LKS+,6,4,27,62.5,93.8,169,-2,2,99.8
CS-,7,8,22,66,93.2,161,3,5,100.2
CFS+,7,11,38,45,93.1,148,4,1,100.1
LFS+,7,9,62,23,93.1,149,0,7,100.1
LKS-,7,3,26,65,93,173,-5,7,100
LS,7,5,35,51,92.7,161,-2,717,99.7
LKS,7.5,6,25,61,92.5,160,-2,128,100
LFS,8,5,48,36,92.3,163,-2,185,100.3
CFS,8.5,2,24.5,66.5,91.6,167,-6,32,100.1
LKSA,8.5,11.5,25,55,91.6,140,3,2,100.1
CS,9,5,33,50,91.2,155,-3,188,100.2
FSL-,9,13,50,19,91,125,1,13,100
CKS,10,5,20,60,90.4,155,-6,59,100.4
CS+,10,5,34,47,90.2,156,-6,8,100.2
CKS+,10,8,53.5,28.5,90,146,-2,2,100
SL-,10,7,44,36.5,90,151,-4,62,100
KSL-,11,5,25,57,89.5,154,-6,7,100.5
L-,11,13,54,23,89.4,128,2,3,100.4
LS+,11,7,37,45,89.2,148,-4,17,100.2
SL,11,7,40,40,88.7,143,-4,878,99.7
LSY,11,6,77,5,88.5,147,-5,1,99.5
KSL,12,7,27,53,88.4,146,-4,144,100.4
SCLFS-,12,10,67,14,87.9,134,-2,5,99.9
LFSY-,12.5,22.5,56.5,9,87.6,96,10,2,100.1
FSL,13,9,53,16,87.4,131,-4,281,100.4
SCLA,13,10,14,64,87.4,133,-3,3,100.4
FSL+,13,12,54,18,87.1,115,-3,23,100.1
KSL+,13,10,23,48,87,128,-5,7,100
KSCL-,13,7,25,52,86.7,143,-7,19,99.7
LSY-,14,3,34,49,86.3,149,-11,1,100.3
SL+,14,7,44,33,86.3,134,-4,43,100.3
LFSY,14,16,51,13,85.7,95,-1,121,99.7
CSC,15,4,16,66,85.4,145,-11,1,100.4
SCLFS,15,14,57,13,85.4,122,-2,21,100.4
SLI,15,13.5,42.5,28.5,84.6,114,-2,2,99.6
CLFSZ,16,26,47,11,84.3,74,10,1,100.3
LI,16,15,17,42,83.8,84,-2,3,99.8
SCL-,16,9,36.5,34,83.8,125,-8,272,99.8
SLA,16,10,63,11,83.5,122,-6,1,99.5
SCLI,16.5,9.5,14.5,59,83.3,121,-7,2,99.8
SI,17,0,9,75,83.3,151,-17,1,100.3
KSCL,17,7.5,25,50.5,82.9,122,-9,44,99.9
SCL,18,9,37,32,81.7,116,-9,930,99.7
FSCL,18,12,46,18,81.6,103,-6,356,99.6
L+,18,15,46,12,81.6,118,-2,13,99.6
LFSY+,18.5,22.5,49,8.5,81.5,72,2,4,100
CLA,19,19,29,33,81.4,86,0,1,100.4
CLKS,19,10,25.5,40,81.3,108,-10,30,100.3
I,19,21,19,42,81.2,82,2,1,100.2
LP,19,39,27,15,81.2,26,20,1,100.2
FSCL-,19,9,44,23,81,125,-6,51,100
SCL+,19,10,31,33,81,116,-8,69,100
CLS-,19,9,42.5,27.5,80.7,104,-10,10,99.7
KSCL+,19.5,9.5,21.5,48.5,80.7,119,-9,8,100.2
CLKS+,20,14.5,14,45.5,80,97,-7,4,100
