TEXTURE,Q16_CLAY,MED_CLAY,Q84_CLAY,Q16_SILT,MED_SILT,Q84_SILT,Q16_FSND,MED_FSND,Q84_FSND,Q16_CSND,MED_CSND,Q84_CSND,Q16_NCLY,MED_NCLY,Q84_NCLY,Q16_W1,MED_W1,Q84_W1,Q16_W2,MED_W2,Q84_W2,N_CLAY,N_SILT,N_FSND,N_CSND
FS,0,2,7.6,1,2,5,22,61,83.7,7.4,32.5,69.5,92.5,97.7,99.5,165,188,194,-4,0,2,60,60,60,60
KS+,1,3,4.7,1,2,5.7,20.6,27,32.2,56.8,71,75.5,95.3,97,99,167,185,194,-1,0,1,5,5,5,5
S,1,3,8,1,2,6,7,26,54,36,66.5,89,91.8,97,99,158,185,194,-5,-1,2,402,402,402,402
LFS-,2.4,4,4,2.4,7,10,43,46,69.9,24.1,44,45.6,95.9,96.1,97.6,160,172,186,-0,4,6,4,4,4,4
KS,1,4,10,1,3,7,6,20,29,55.9,70,90.1,90.1,95.9,99,154,179,191,-5,-1,2,145,145,145,145
LS-,3.8,6,6.4,2.6,5,7,23.2,37,43.9,45.1,53,68,93.5,94.2,96.2,164,170,174,-3,0,2,11,11,11,11
MS,3.9,6,13.1,2,4,9.4,9.7,36,52.2,33.3,42,79.6,86.7,94.1,96.2,147,170,176,-9,-3,2,13,13,13,13
LKS+,6,6,6,3.3,4,4.7,20.9,27,33.1,55.3,62.5,69.7,93.7,93.8,93.8,166,169,172,-3,-2,-1,2,2,2,2
CS-,4.3,7,7.4,4.2,8,14.5,19.9,22,42,35.8,66,70.8,92.8,93.2,95.8,133,161,171,-1,3,7,5,5,5,5
CFS+,7,7,7,11,11,11,38,38,38,45,45,45,93.1,93.1,93.1,148,148,148,4,4,4,1,1,1,1
LFS+,6,7,10.4,6.9,9,15,44.9,62,65.5,20.4,23,24.9,89.6,93.1,93.9,134,149,163,-3,0,3,7,7,7,7
LKS-,2,7,27.6,2,3,11.2,23,26,28,36.3,65,68.1,72.8,93,98,85,173,188,-16,-5,0,7,7,7,7
LS,4,7,11,2,5,10,19,35,53,30.8,51,69,89.1,92.7,96.1,143,161,176,-6,-2,2,717,717,717,717
LKS,4,7.5,11,2,6,9,18.2,25,33.8,50.2,61,71,89.1,92.5,96,146,160,176,-7,-2,4,128,128,128,128
LFS,4,8,12,2,5,10,29.3,48,72.7,11,36,57.7,88.3,92.3,96.1,135,163,182,-7,-2,2,185,185,185,185
CFS,6,8.5,11,1,2,4,11.8,24.5,54.3,34,66.5,80.1,89,91.6,94,162,167,176,-10,-6,-3,32,32,32,32
LKSA,6.8,8.5,10.2,7.1,11.5,15.9,25,25,25,48.9,55,61.1,89.8,91.6,93.4,122,140,158,0,3,6,2,2,2,2
CS,4,9,16,2,5,10,16,33,52.3,30,50,69,83.7,91.2,95.9,131,155,176,-10,-3,2,188,188,188,188
FSL-,6.8,9,12.2,6.9,13,22.1,41.7,50,71.1,13.8,19,30.5,88.1,91,93.4,101,125,157,-2,1,13,13,13,13,13
CKS,5,10,16,1,5,10.8,8.2,20,29.8,51.2,60,82.1,84,90.4,95.1,129,155,175,-11,-6,2,59,59,59,59
CS+,9,10,16.8,2.1,5,5,27.2,34,57.5,27.9,47,57.9,83.6,90.2,90.9,138,156,165,-11,-6,-2,8,8,8,8
CKS+,10,10,10,8,8,8,43.6,53.5,63.4,18.6,28.5,38.4,90,90,90.1,146,146,146,-2,-2,-2,2,2,2,2
SL-,6,10,17,3,7,11,33,44,63.3,18,36.5,50,83,90,94,123,151,165,-10,-4,2,62,62,62,62
KSL-,7.7,11,18.6,3,5,5.3,23.6,25,31.9,45.9,57,61,81.1,89.5,92.4,109,154,168,-9,-6,-5,7,7,7,7
L-,8.3,11,15.1,6.2,13,15.7,48.5,54,56,22.3,23,27.8,85.2,89.4,91.9,128,128,136,-9,2,7,3,3,3,3
LS+,8,11,15.3,3.5,7,13.4,21.5,37,42.4,37.4,45,55,84.6,89.2,92.2,114,148,164,-7,-4,0,17,17,17,17
SL,7,11,17,3,7,12,25,40,57,22,40,55,83.3,88.7,93.2,122,143,161,-11,-4,2,878,878,878,878
LSY,11,11,11,6,6,6,77,77,77,5,5,5,88.5,88.5,88.5,147,147,147,-5,-5,-5,1,1,1,1
KSL,6,12,16.3,3,7,10,20,27,35.3,45,53,62,83.5,88.4,93.7,128,146,164,-13,-4,0,144,144,144,144
SCLFS-,10.6,12,13,8,10,11.4,61.3,67,68.7,10.2,14,16,87.1,87.9,89.5,130,134,140,-3,-2,-1,5,5,5,5
LFSY-,12.2,12.5,12.8,20.1,22.5,24.9,56.2,56.5,56.8,6.3,9,11.7,87.4,87.6,87.8,89,96,103,7,10,13,2,2,2,2
FSL,8,13,20,4,9,19,37,53,70,6.5,16,43,79.9,87.4,92,89,131,158,-10,-4,4,281,281,281,281
SCLA,8.2,13,17.8,5.9,10,10,9.9,14,35.8,36,64,76.3,82.2,87.4,92,116,133,158,-8,-3,-2,3,3,3,3
FSL+,10.5,13,17,7.5,12,17.5,40,54,67,7.5,18,30.5,83.3,87.1,89.9,102,115,140,-9,-3,5,23,23,23,23
KSL+,12,13,20.1,5.9,10,12,20.9,23,32,40.5,48,57,79.8,87,88,119,128,133,-14,-5,0,7,7,7,7
KSCL-,8,13,19.1,5.9,7,9.1,16.9,25,39,39.9,52,65.1,80.5,86.7,91.7,117,143,152,-12,-7,0,19,19,19,19
LSY-,14,14,14,3,3,3,34,34,34,49,49,49,86.3,86.3,86.3,149,149,149,-11,-11,-11,1,1,1,1
SL+,8,14,19,4,7,13.3,30.4,44,54.6,23.7,33,50.6,80.9,86.3,92.4,110,134,160,-13,-4,2,43,43,43,43
LFSY,10,14,26.8,8,16,24,36,51,63,5,13,27,73,85.7,89.5,59,95,137,-13,-1,11,121,121,121,121
CSC,15,15,15,4,4,4,16,16,16,66,66,66,85.4,85.4,85.4,145,145,145,-11,-11,-11,1,1,1,1
SCLFS,9,15,21.3,9.2,14,19.8,37,57,69.5,4.2,13,34.5,79,85.4,90.9,90,122,131,-9,-2,6,21,21,21,21
SLI,10.9,15,19.1,11.1,13.5,15.9,31.9,42.5,53.1,24.1,28.5,32.9,80.5,84.6,88.7,95,114,132,-3,-2,0,2,2,2,2
CLFSZ,16,16,16,26,26,26,47,47,47,11,11,11,84.3,84.3,84.3,74,74,74,10,10,10,1,1,1,1
LI,14,16,22.8,14.3,15,21.8,16.3,17,20.4,40,42,50.2,76.9,83.8,85.9,79,84,102,-8,-2,8,3,3,3,3
SCL-,10,16,24.9,5,9,14,24,36.5,52,17,34,52.9,75.3,83.8,90,89,125,149,-16,-8,1,272,272,272,272
SLA,16,16,16,10,10,10,63,63,63,11,11,11,83.5,83.5,83.5,122,122,122,-6,-6,-6,1,1,1,1
SCLI,10.7,16.5,22.3,9.2,9.5,9.8,12.8,14.5,16.2,54.9,59,63.1,77.7,83.3,89,104,121,138,-13,-7,-1,2,2,2,2
SI,17,17,17,0,0,0,9,9,9,75,75,75,83.3,83.3,83.3,151,151,151,-17,-17,-17,1,1,1,1
KSCL,12,17,22.3,4,7.5,12,16,25,32,40.5,50.5,57,77.4,82.9,87.6,102,122,152,-18,-9,-3,44,44,44,44
SCL,12,18,27,5,9,16,25,37,53,17,32,45,73.3,81.7,87.9,80,116,140,-18,-9,1,930,930,930,930
FSCL,12,18,27,5,12,20,29,46,59,6.4,18,37,72.7,81.6,87.5,63,103,141,-14,-6,2,356,356,356,356
