TEXTURE,TEXTURE_CODE,TEXTURE_QUALIFIER,DESCRIPTION,GROUP_1,GROUP_2,GROUP_3,GROUP_4,N_CODES,FINAL_RANK
GR-,GR,-,gravel,gravel,gravel,gravel,gravel,1,1
GR,GR,NA,gravel,gravel,gravel,gravel,gravel,35,2
ST,ST,NA,stones,gravel,gravel,gravel,gravel,2,3
GR+,GR,+,gravel,gravel,gravel,gravel,gravel,2,4
KS-,KS,-,coarse sand,sand,sand,"sand, coarse","light sand, coarse",1,5
KSA,KS,A,coarse sand,sand,sand,"sand, coarse","sapric sand, coarse",2,6
KS,KS,NA,coarse sand,sand,sand,"sand, coarse","sand, coarse",4178,7
KSS,KSS,NA,coarse pure sand,sand,sand,"sand, coarse","sand, coarse",1,8
KSI,KS,I,coarse sand,sand,sand,"sand, coarse","fibric sand, coarse",4,9
KS+,KS,+,coarse sand,sand,sand,"sand, coarse","heavy sand, coarse",63,10
S-,S,-,sand,sand,sand,"sand, medium","light sand, medium",3,11
SA,S,A,sand,sand,sand,"sand, medium","sapric sand, medium",11,12
MS,MS,NA,medium sand,sand,sand,"sand, medium","sand, medium",24,13
S,S,NA,sand,sand,sand,"sand, medium","sand, medium",9999,14
SS,SS,NA,pure sand,sand,sand,"sand, medium","sand, medium",5,15
SI,S,I,sand,sand,sand,"sand, medium","fibric sand, medium",7,16
S+,S,+,sand,sand,sand,"sand, medium","heavy sand, medium",134,17
FS-,FS,-,fine sand,sand,sand,"sand, fine","light sand, fine",1,18
FS,FS,NA,fine sand,sand,sand,"sand, fine","sand, fine",2676,19
FSI,FS,I,fine sand,sand,sand,"sand, fine","fibric sand, fine",4,20
FS+,FS,+,fine sand,sand,sand,"sand, fine","heavy sand, fine",5,21
LKS-,LKS,-,loamy coarse sand,sand,loamy sand,"loamy sand, coarse","light loamy sand, coarse",69,22
LKSA,LKS,A,loamy coarse sand,sand,loamy sand,"loamy sand, coarse","sapric loamy sand, coarse",13,23
LKS,LKS,NA,loamy coarse sand,sand,loamy sand,"loamy sand, coarse","loamy sand, coarse",2101,24
LKS+,LKS,+,loamy coarse sand,sand,loamy sand,"loamy sand, coarse","heavy loamy sand, coarse",62,25
