COLOUR_BOOK,COLOUR_CODE,HUE,VALUE,CHROMA,R,G,B,HEX
M,10B2.5/1,10B,2.5,1,54,61,66,#363D42
M,10B31,10B,3,1,65,73,78,#41494E
M,10B51,10B,5,1,115,123,128,#737B80
M,10B61,10B,6,1,141,148,153,#8D9499
M,10B71,10B,7,1,168,174,179,#A8AEB3
M,10B81,10B,8,1,194,201,205,#C2C9CD
M,10BG41,10BG,4,1,87,98,99,#576263
M,10BG51,10BG,5,1,112,124,125,#707C7D
M,10BG71,10BG,7,1,163,176,176,#A3B0B0
M,10BG81,10BG,8,1,189,203,203,#BDCBCB
M,10G31,10G,3,1,64,74,71,#404A47
M,10G51,10G,5,1,112,124,120,#707C78
M,10G61,10G,6,1,137,150,146,#899692
M,10G71,10G,7,1,162,177,172,#A2B1AC
M,10GY31,10GY,3,1,67,73,67,#434943
M,10GY41,10GY,4,1,91,98,90,#5B625A
M,10GY51,10GY,5,1,116,124,115,#747C73
M,10GY61,10GY,6,1,140,150,140,#8C968C
M,10GY71,10GY,7,1,166,176,165,#A6B0A5
M,10GY81,10GY,8,1,192,203,191,#C0CBBF
M,10R2.5/2,10R,2.5,2,77,54,51,#4D3633
M,10R20,10R,2,0,49,49,49,#313131
M,10R22,10R,2,2,65,43,41,#412B29
M,10R23,10R,2,3,71,41,37,#472925
M,10R31,10R,3,1,82,69,66,#524542
M,10R32,10R,3,2,90,66,61,#5A423D
M,10R33,10R,3,3,97,63,56,#613F38
M,10R34,10R,3,4,104,60,51,#683C33
M,10R35,10R,3,5,110,56,46,#6E382E
M,10R36,10R,3,6,115,53,41,#733529
M,10R37,10R,3,7,121,49,35,#793123
M,10R38,10R,3,8,126,44,30,#7E2C1E
M,10R42,10R,4,2,115,91,85,#735B55
M,10R43,10R,4,3,123,88,79,#7B584F
M,10R44,10R,4,4,130,85,74,#82554A
M,10R45,10R,4,5,136,82,68,#885244
M,10R46,10R,4,6,142,79,62,#8E4F3E
M,10R47,10R,4,7,148,75,56,#944B38
M,10R48,10R,4,8,154,72,50,#9A4832
M,10R51,10R,5,1,131,119,116,#837774
M,10R52,10R,5,2,139,117,111,#8B756F
M,10R53,10R,5,3,147,114,105,#937269
M,10R54,10R,5,4,155,111,98,#9B6F62
M,10R55,10R,5,5,163,108,92,#A36C5C
M,10R56,10R,5,6,170,105,86,#AA6956
M,10R58,10R,5,8,182,98,72,#B66248
M,10R64,10R,6,4,182,137,123,#B6897B
M,10R66,10R,6,6,196,132,111,#C4846F
M,10R68,10R,6,8,209,125,98,#D17D62
M,10R80,10R,8,0,200,200,200,#C8C8C8
M,10Y2.5/1,10Y,2.5,1,61,60,52,#3D3C34
M,10Y31,10Y,3,1,73,72,62,#49483E
M,10Y41,10Y,4,1,97,97,85,#616155
M,10Y51,10Y,5,1,123,122,110,#7B7A6E
M,10Y61,10Y,6,1,149,148,134,#959486
M,10Y71,10Y,7,1,175,174,159,#AFAE9F
M,10Y81,10Y,8,1,202,201,184,#CAC9B8
M,10YR20,10YR,2,0,49,49,49,#313131
M,10YR21,10YR,2,1,55,48,41,#373029
M,10YR22,10YR,2,2,60,46,33,#3C2E21
M,10YR23,10YR,2,3,64,45,24,#402D18
M,10YR24,10YR,2,4,68,44,13,#442C0D
M,10YR25,10YR,2,5,71,43,0,#472B00
M,10YR27,10YR,2,7,76,40,0,#4C2800
M,10YR30,10YR,3,0,72,72,72,#484848
M,10YR31,10YR,3,1,79,70,62,#4F463E
M,10YR32,10YR,3,2,84,69,53,#544535
M,10YR33,10YR,3,3,89,68,44,#59442C
M,10YR34,10YR,3,4,93,67,34,#5D4322
M,10YR35,10YR,3,5,96,65,23,#604117
M,10YR36,10YR,3,6,99,64,8,#634008
M,10YR37,10YR,3,7,102,64,0,#664000
M,10YR40,10YR,4,0,96,96,96,#606060
M,10YR41,10YR,4,1,104,95,85,#685F55
M,10YR42,10YR,4,2,110,93,75,#6E5D4B
M,10YR43,10YR,4,3,115,92,64,#735C40
M,10YR44,10YR,4,4,120,91,54,#785B36
M,10YR45,10YR,4,5,124,90,44,#7C5A2C
M,10YR46,10YR,4,6,127,89,33,#7F5921
M,10YR47,10YR,4,7,130,88,19,#825813
M,10YR48,10YR,4,8,132,87,0,#845700
M,10YR50,10YR,5,0,121,121,121,#797979
M,10YR51,10YR,5,1,129,120,111,#81786F
M,10YR52,10YR,5,2,135,119,100,#877764
M,10YR53,10YR,5,3,141,118,90,#8D765A
M,10YR54,10YR,5,4,146,116,79,#92744F
M,10YR55,10YR,5,5,151,115,67,#977343
M,10YR56,10YR,5,6,155,114,55,#9B7237
M,10YR57,10YR,5,7,159,113,42,#9F712A
M,10YR58,10YR,5,8,162,112,28,#A2701C
M,10YR60,10YR,6,0,147,147,147,#939393
M,10YR61,10YR,6,1,155,146,136,#9B9288
M,10YR62,10YR,6,2,161,145,125,#A1917D
M,10YR63,10YR,6,3,167,144,114,#A79072
M,10YR64,10YR,6,4,172,143,103,#AC8F67
M,10YR65,10YR,6,5,178,141,92,#B28D5C
M,10YR66,10YR,6,6,182,140,80,#B68C50
M,10YR67,10YR,6,7,186,139,68,#BA8B44
M,10YR68,10YR,6,8,190,138,54,#BE8A36
M,10YR70,10YR,7,0,173,173,173,#ADADAD
M,10YR71,10YR,7,1,181,172,162,#B5ACA2
M,10YR72,10YR,7,2,188,171,150,#BCAB96
M,10YR73,10YR,7,3,194,170,139,#C2AA8B
M,10YR74,10YR,7,4,199,169,127,#C7A97F
M,10YR75,10YR,7,5,204,168,116,#CCA874
M,10YR76,10YR,7,6,209,167,104,#D1A768
M,10YR77,10YR,7,7,213,165,92,#D5A55C
M,10YR78,10YR,7,8,217,164,80,#D9A450
M,10YR80,10YR,8,0,200,200,200,#C8C8C8
M,10YR81,10YR,8,1,207,199,187,#CFC7BB
M,10YR82,10YR,8,2,214,198,175,#D6C6AF
M,10YR83,10YR,8,3,220,197,164,#DCC5A4
M,10YR84,10YR,8,4,226,196,152,#E2C498
M,10YR85,10YR,8,5,231,194,141,#E7C28D
M,10YR86,10YR,8,6,236,193,129,#ECC181
M,10YR87,10YR,8,7,241,192,117,#F1C075
M,10YR88,10YR,8,8,245,191,104,#F5BF68
M,10YR92,10YR,9,2,242,225,200,#F2E1C8
M,2.5Y2.5/1,2.5Y,2.5,1,65,59,51,#413B33
M,2.5Y20,2.5Y,2,0,49,49,49,#313131
M,2.5Y21,2.5Y,2,1,54,48,40,#363028
M,2.5Y22,2.5Y,2,2,58,47,32,#3A2F20
M,2.5Y24,2.5Y,2,4,64,46,7,#402E07
M,2.5Y25,2.5Y,2,5,67,45,0,#432D00
M,2.5Y30,2.5Y,3,0,72,72,72,#484848
M,2.5Y31,2.5Y,3,1,77,71,62,#4D473E
M,2.5Y32,2.5Y,3,2,81,70,52,#514634
M,2.5Y33,2.5Y,3,3,85,69,42,#55452A
M,2.5Y34,2.5Y,3,4,89,69,31,#59451F
M,2.5Y36,2.5Y,3,6,94,67,1,#5E4301
M,2.5Y40,2.5Y,4,0,96,96,96,#606060
M,2.5Y41,2.5Y,4,1,102,95,85,#665F55
M,2.5Y42,2.5Y,4,2,107,94,73,#6B5E49
M,2.5Y43,2.5Y,4,3,112,94,62,#705E3E
M,2.5Y44,2.5Y,4,4,115,93,51,#735D33
M,2.5Y45,2.5Y,4,5,118,92,39,#765C27
M,2.5Y46,2.5Y,4,6,121,92,27,#795C1B
M,2.5Y48,2.5Y,4,8,125,90,0,#7D5A00
M,2.5Y50,2.5Y,5,0,121,121,121,#797979
M,2.5Y51,2.5Y,5,1,128,121,110,#80796E
M,2.5Y52,2.5Y,5,2,133,120,99,#857863
M,2.5Y53,2.5Y,5,3,137,119,87,#897757
M,2.5Y54,2.5Y,5,4,142,118,75,#8E764B
M,2.5Y55,2.5Y,5,5,146,118,62,#92763E
M,2.5Y56,2.5Y,5,6,149,117,48,#957530
M,2.5Y57,2.5Y,5,7,152,116,34,#987422
M,2.5Y58,2.5Y,5,8,154,116,15,#9A740F
M,2.5Y60,2.5Y,6,0,147,147,147,#939393
M,2.5Y61,2.5Y,6,1,153,147,135,#999387
M,2.5Y62,2.5Y,6,2,159,146,123,#9F927B
M,2.5Y63,2.5Y,6,3,163,145,111,#A3916F
M,2.5Y64,2.5Y,6,4,168,145,99,#A89163
M,2.5Y65,2.5Y,6,5,172,144,87,#AC9057
M,2.5Y66,2.5Y,6,6,176,143,74,#B08F4A
